,0,1,2,3,4,5,6,7,8,9,10
149,2 : 141,那是已逝去的民族，他們得享受他們的行為的報酬，你們也得享受你們的行為的報酬，你們對他們的行為不負責任。,,這是那已經過去的群眾，他們有他們的作為，你們有你們的作為；你們對於他們的作為不負責任。,,那是一群已經逝去的人，他們獲得他們所賺得的，你們也獲得你們所賺得的，他們的功過(所做過的行為)與你們不相干(你們不會被質詢)。,,"[注]
那是確已逝去的民族，它享受它所營謀的，你們享受你們所營謀的，你們對他們的所作所為不受質問。",,那是一個已逝去的民族，他們將獲得他們所應得的報酬，你們也將獲得你們所應得的報酬。關於他們所做的，你們將不被審問[他們自作自受]。,
150,2 : 142,一般愚人將說：「他們為甚麼要背棄他們原來所對的朝向呢？」你說：「東方和西方，都是真主的，他把他所意欲的人引上正路。」,,天才的人們將要好說：（什麼事情使他們轉過原守的朝堂呢？）你說：（東方西方惟屬安拉執掌。他任便把人引至正道。,,人群中的愚人們會說：“為了什麼(原因)讓他們轉變了原來的禮拜方向?”你說：“東方和西方都屬於安拉，他引導他喜愛的人到正道。”,,"人們
[注1]
中的愚人們會說：“什麼使他們
[注2]
離開他們原來的朝向呢？”你說：“東方、西方
[注3]
都是安拉的。他把他要的人引向正路
[注4]
。”",,人們中有些愚人[拜偶像者，偽信者和猶太教徒]將說：“是什麼[原因]使他們[穆斯林]轉變了他們原來[在禮拜中]所對的朝向呢？”你[穆聖]說：“東方和西方都是安拉的，他引導他所意欲者走上正道。”,
151,2 : 143,我這樣以你們為中正的民族，以便你們作證世人，而使者作證你們。我以你原來所對的方向為朝向，只為辨別誰是順從使者的，誰是背叛的。這確是一件難事，但在真主所引導的人，卻不難。真主不致使你們的信仰徒勞無酬。真主對於世人，確是至愛的，確是至慈的。,,我如此著，使你們成為中庸的一夥，好教你們是見證眾人的，使者是見證你們的，我把你原守的作為朝堂，只為知道誰是追隨使者的，誰是逆轉的。那卻是一件重大的事情；惟有安拉引導的人不然。安拉絕不湮沒你們的信仰，安拉是必憐憫、慈憫眾人的。,,這樣，我使你們成為一個中庸的民 族，以便你們能為各民族作證，和(以便)使者為你們作證。我指定了一個你們從前使用過的方向作為禮拜的方向，這只是為了把追隨使者的人們由那些(從信仰上)扭轉腳跟(不信)的人中區別出來。除了那些被安拉引導的人之外， 這確是一項困難的事。安拉決不使你們的信仰沒有結果，安拉對所有的人是最仁愛的，是最慈憫的。,,"同樣，我使你們
[注1]
成為公正
[注2]
的民族，以便你們是人們的證人
[注3]
，而使者是你們的證人
[注4]
。我所以轉向你原來的
[注5]
朝向，只是要知道從那後退的人中誰緊跟
[注6]
使者。[它]
[注7]
確是一件大事，除非對安拉所引導的人們。安拉不會使你們的信仰白費
[注8]
。安拉對於人們確是疼顧的，慈憫的。",,"我如此使你們[穆斯林]成為一個正義[或優秀]的民族，以便你們為世人作證，而使者[穆聖]為你們作證。我以你[穆聖]原來所對的朝向為朝向
[注]
[如在天房定為朝向前，禮拜時朝向耶路撒冷]，只為辨認誰是追隨使者[穆聖]的，誰是背棄使者的。這確是艱難的，但對獲得安拉引導者則不難。安拉絕不會使你們的信仰[如在天房定為朝向前，面向耶路撒冷的禮拜]徒勞。安拉對人類確是仁愛的，特慈的。",
152,2 : 144,我確已見你反復地仰視天空，故我必使你轉向你所喜悅的朝向。你應當把你的臉轉向禁寺。你們無論在那裏，都應當把你們的瞼轉向禁寺。曾受天經者必定知道這是從他們的主降示的真理，真主絕不忽視他們的行為。,,我卻見你面向著上空。我必教你轉向你所喜愛的朝堂；你就面向禁寺方向吧！你們處在不論哪里，你們就應面向那一面！一般有經的人卻知道：那是由養主上確當的，安拉必不忽于他們的作為。,,我看見你(穆聖)一再仰面朝天(尋求引導)。現在我將使你朝向你喜歡的禮拜方向。你就朝著聖寺的方向禮拜吧。無論你們在哪里，你們都朝著這一個方向。有經的人深知那是來自他們的主的真理，安拉不是不注意他們所作所為的。,,"的確，我見你對天空仰望
[注1]
，我勢必使你面向一個你所喜愛的方向，那你就面向禁寺一方
[注2]
吧！你們
[注3]
不論在哪里都要面向它一方吧！那些有經者確切知道：它
[注4]
是來自他們養主的真理
[注5]
。安拉對他們
[注6]
的所作所為不是昏聵的。",,我確已看見你[穆聖]反復仰望天空，因此，我就讓你轉向你所喜悅的朝向。[現在]你面向禁寺方向吧！[今後]無論你們在哪里，你們[禮拜時]都應面向禁寺方向。受賜經典者[有經人]必定知道這[禮拜時朝向天房]是從他們的主降示的真理。安拉絕不忽視他們所做的。,
153,2 : 145,即使你以一切跡象昭示曾受天經者，他們必不順從你的朝向，你也絕不順從他們的朝向；他們各守自己的朝向，互不相從。在知識降臨你之後，如果你順從他們的私欲，那末，你必定是不義者。,,如果你把各項表徽現給有經的人了，他們不隨從你的朝堂；你也不必隨從他們的朝堂；他們的部分也不隨部分的朝堂。如果在你得到知識以後，隨從他們的私見了。那時侯你必定歸為不義的人了。,,就算你能把一切的跡象同時給有經的人們，他們也不會遵循你的禮拜方向。你也不要遵循他們的禮拜方向。如果你在這項知識到達你之後，還追隨他們的願望，那麼，你就是不義的人。,,"若是你給那些有經者，拿來每一件跡象
[注1]
，他們不會跟從你的朝向，你也不是他們朝向的跟從者
[注2]
，他們的一部分也不是另一部分人之朝向的跟從者
[注3]
。如果你在知識
[注4]
來到你以後，你跟從他們的私欲
[注5]
時，那麼，你就是虧害者。",,即使你把所有跡象都昭示給受賜經典者[有經人]，他們也不會遵行你的朝向，你也不會遵行他們的朝向。他們不遵行其他人的朝向。在知識[啟示]降臨你[穆聖]之後，假如你順從他們的私欲，那麼，你確是不義者。,
154,2 : 146,蒙我賞賜經典的人，認識他，猶如認識自己的兒女一樣。他們中有一派人，的確明知故犯地隱諱真理。,,蒙我賜給有經典的人認識他，就象認識自己的兒子一樣。他們之中的一夥人，明知著而隱匿真的。,,有經的人知道這一點，就象(他們)知道他們自己的兒子一樣(清楚)。但是有一些人卻明知故犯地隱瞞真理。,,"我授予他們經典的那些人們，他們像認識自己的兒子般認識他
[注1]
。他們中的一夥，的確，他們知道所隱藏的真理
[注2]
。",,凡蒙我賜予經典者，他們認識他[穆聖或天房]就像認識自己的兒女們一樣。他們中有些人的確故意隱藏真理[如《討拉特》和《引吉勒》中對穆聖將降世的預言]。,
155,2 : 147,真理是從你的主降示的，故你絕不要懷疑。,,真的出自養主，你莫懷疑。,,這項真理是來自你的主的， 所以你們不要懷疑(它)。,,"真理
[注]
是來自安拉，所以你切勿成為懷疑者。",,[這是]從你的主降示的真理，所以，你絕不要懷疑。,
156,2 : 148,各人都有自己所對的方向，故你們當爭先為善。你們無論在那裏，真主將要把你們集合起來，真主對於萬事，確是全能的。,,每一夥人有其面向的朝堂。你們要忙行種種善事。你們處在不論哪里，安拉將把你們一同拿到。安拉是全能於萬事的。,,每個人都有一個目標， 因此要互相競爭做好的事情，不論你們在哪里，安拉都會把你們集合在一起，安拉是全能於萬事萬物的。,,"每個人
[注1]
都有朝向，他是朝向它
[注2]
的。你們奔向
[注3]
一切善功
[注4]
吧！不論你們在哪里，安拉都會把你們全部弄來
[注5]
，安拉對萬物是大能的。",,每個民族都有一個自己[在宗教活動中]面對的方向，因此，你們當爭先行善。無論你們在哪里，[復活日]安拉都將把你們集合起來。安拉對萬事確是萬能的。,
157,2 : 149,你無論從那裏出去，都應當把你的臉轉向禁寺；這確是從你的主降示的真理。真主絕不忽視你們的行為。,,你去到不論什麼地方，就當面向禁寺的方面。這是出自養主的真理。安拉必不忽于你們的作為,,無論你從哪里出現， 你都應當面向聖寺的方向。這確是來自你的主的真理，安拉不是不注意你們所作所為的(事)。,,"你從何處出外
[注1]
，就面向禁寺一方吧！它
[注2]
確是來自你養主的真理，安拉對你們
[注3]
的作為不是昏聵的。",,無論你出現在哪里，你[禮拜時]都應面向[麥加]禁寺方向。這確是從你的主降示的真理。安拉絕不忽視你們所做的。,
158,2 : 150,你無論從那裏出去，都應當把你的臉轉向禁寺。你們無論在那裏，都應當把你們的臉轉向它，以免他人對你們有所藉口。惟他們中不義的人除外，但你們不要畏懼他們，你們當畏懼我，以便我成全我所施於你們的恩典，以便你們遵循正道。,,你去到不論什麼地方，你就當面向禁寺方面吧！你們住到不論那裏，你們就應該面向那一面，以免眾人———除卻他們其中一般不義的人———質問你們。你們不要懼他們應當懼我；並為我全滿對你們的恩典；更為你們得正道；,,無論你從哪里出現， 你都應當面向聖寺的方向。無論你們在哪里，你們都(應當)面向著那一邊。除了那些傾向於邪惡的人之外，人們沒有跟你們爭辯的餘地的。所以，你們不要怕他們， 而要畏懼我， 以便我能夠完成我對你們的恩典，以便你們能夠被引導。,,"你從何處出外，就面向禁寺一方吧
[注1]
！你們不論在哪里，就面向它
[注2]
的一方吧！以免人們
[注3]
掌握對你們有害的
[注4]
質證
[注5]
，他們中那些虧害者們除外。所以不要怕他們
[注6]
，要駭怕我
[注7]
！和為了我完全施恩
[注8]
給你們，願你們得正道
[注9]
。",,無論你出現在哪里，你[禮拜時]都應面向禁寺方向；無論你們在哪里，你們[禮拜時]都應面向禁寺方向，以免人們有反對你們的藉口，他們中行不義的人們除外。你們不要害怕他們，你們當畏懼我，以便我完成我對你們的恩惠，以便你們獲得正道。,
159,2 : 151,猶如我派遣你們族中的一個使者來教化你們，對你們宣讀我的跡象，薰陶你們，教授你們天經和智慧，並將你們所不知道的教訓你們。,,就如我在你們中間差來一個同類的使者。他把我的經典讀給你們；他使你們清潔，他把經典和智慧教給你們；他把你們所不知道的教給你們。,,就象我已為你們派遣了一位來自你們當中的使者， 他向你們宣讀我的啟示和淨化你們，並教導你們經典和智慧，以及教導你們所不知道的。,,"[注1]
就像我在你們中差一位來自你們的使者
[注2]
那樣，他把我的跡象
[注3]
讀給你們，使你們清潔
[注4]
，教你們經典
[注5]
和法規
[注6]
，他把你們所不知道的教給你們。",,正如我從你們本族中為你們派遣一位使者[穆聖]，他[穆聖]向你們宣讀我的啟示[《古蘭經》]，淨化你們，教授你們經典[《古蘭經》]和智慧[《聖訓》]，並把你們所不知道的教授你們。,
160,2 : 152,故你們當記憶我，（你們記憶我），我就記憶你們；你們當感謝我；不要孤負我。,,你們當記念我，我就記念你們；你們應當感念我，你們不要對我忘恩。,,所以，你們應當紀念我，我也會關懷你們。你們應當知道感謝我，不要對我忘恩負義。,,"你們就提念
[注1]
我吧！我就提念
[注2]
你們，你們要感謝我
[注3]
，不要隱昧我。",,"你們贊念我
[注]
吧！我將記住你們；你們感謝我吧！你們不要辜負我。",
161,2 : 153,信道的人們啊！你們當借堅忍和拜功，而求佑助。真主確是與堅忍者同在的。,,眾歸信的人那！你們當以忍耐和拜功求襄助。安拉實是和忍耐的人同在的。,,有信仰的人啊!你們要以堅忍和禮拜求助。安拉與堅忍者同在。,,"哎那些歸信者們啊！你們要以忍耐和拜功
[注1]
求助吧！安拉確是偕同
[注2]
忍耐者們的。",,信士們啊！你們當用堅忍和拜功求[安拉的]襄助。安拉的確與堅忍者同在。,
162,2 : 154,為主道而被戕害的人，你們不要說他們是死的；其實，他們是活的，但你們不知覺。,,你們對於在安拉之道上被殺者，莫說：（他們是死人。）確是活的。但是你們不覺得。,,(對於)那些在安拉的道上被殺害的人，你們不要說：“他們死了。”不，他們是活著的， 不過你們，沒有察覺罷了。,,"你們不要說為安拉而陣亡者是死人，而是活人
[注]
，但你們卻感覺不到。",,凡為安拉之道殉難者，你們不要說：“[他們]已死亡。”其實，“[他們]是活著的。”但你們感覺不到。,
163,2 : 155,我必以些微的恐怖和饑饉，以及資產、生命、收穫等的損失，試驗你們，你當向堅忍的人報喜。,,我必用些微的——駭怕、饑饉、損折財命、果實，試證你們。你當給忍耐的人報喜信。,,我一定會以恐懼和饑餓、財產、生命和果蔬的損失來試驗你們，不過你要報喜訊給那些堅忍的人。,,"我確實用一點恐懼
[注1]
、饑餓
[注2]
、傷財、喪命
[注3]
及損失果實考驗你們
[注4]
，你給忍耐者們報喜吧
[注5]
！",,我必用恐懼和饑荒，以及財產、生命和收穫的損失來考驗你們，你[穆聖]當向堅忍者報喜。,
164,2 : 156,他們遭難的時候，說：「我們確是真主所有的，我們必定只歸依他。」,,那般人當遇難的時候，就說：（我們是安拉所掌的，我們是將必歸於他的。）,,當他們受到災難折磨時，他們說：“我們屬於安拉，我們將回到他那裏。”,,"那些人，如果遇上災禍，他們說：“我們是安拉的
[注]
，我們確是歸至他的。”",,當他們[堅忍者]遭遇災難時，他們說：“我們都是安拉的，我們都將歸到他那裏去。”,
165,2 : 157,這等人，是蒙真主的祜佑和慈恩的；這等人，確是遵循正道的。,,這般人可獲其養主的憐愛和慈憫，這般人就是得正道的。,,他們是受到安拉賜福和慈憫的人，他們是被正確引導的。,,"這些人，來自其養主的寬恕
[注]
和恩慈到達他們。這些人，他們是得正道的。",,這些人將獲得他們的主的賜福和慈憫。這些人確是遵行正道者。,
166,2 : 158,賽法和麥爾維，確是真主的標識。舉行大朝或小朝的人，無妨遊此兩山。自願行善者，（必得善報），因為真主確是厚報的，確是全知的。,,的確，索法和墨爾襪是屬安拉的徽跡，奔赴天房，或做例外巡禮的人，不妨遊此二山。格外做善的人，安拉一定是頌善的，深知的。,,索法(山)和馬爾瓦(山)是安拉設置的標誌之一。如果人們在朝覲或是作副朝(在其他的時候巡訪聖寺時)，環繞它們巡遊是無妨的。如果任何人自發地為善，安拉是一定善報的和能知的。,,"的確，[巡禮]綏法與麥爾沃
[注1]
是安拉[約定]的一種儀式
[注2]
，凡朝覲
[注3]
或遊歷天房者，不仿
[注4]
巡禮它倆
[注5]
，凡自願行善者
[注6]
，安拉是報酬的、全知的
[注7]
。",,薩法[山]和麥爾瓦[山]確是安拉的標誌之一。凡履行正朝或副朝者，環遊這兩座山是無罪的。凡自願做善功者，安拉[對善功]確是最善報的，全知的。,
167,2 : 159,我在經典中為世人闡明正道之後，隱諱我所降示的明證和正道的人，真主棄絕他們；一般詛咒者，都詛咒他們。,,的確，我在經典中向世人解釋自所降下的明證和標準以後， 一切隱匿牠的人，均遭安拉的怒惱，並遭一切咒詛者的咒詛；,,當我已在經典中使人們明瞭，而仍隱瞞我已經頒降的(明顯的)證據和引導的那些人，他們將遭受安拉的天譴和有權詛咒者的詛咒。,,"的確，那些把我所降的說明和引導
[注1]
，在我的經典
[注2]
中已為人們闡明之後，而隱藏起來的人們
[注3]
，這些人安拉和人們都詛咒他們。",,"我在我所降示的經典中為人類闡明[明證與正道]後，凡隱藏明證和正道者，這些人必遭安拉的譴責，必遭詛咒者的詛咒
[注]
。",
168,2 : 160,惟悔罪自新，闡明真理的人，我將赦宥他們。我是至宥的，是至慈的。,,除卻那般悔罪自修並且表明的人。這般人我允他們的悔罪。我是允受悔罪的，特慈的。,,除了那些懺悔、改過和公開闡明(真理)的人在外。我對他們寬容。我是寬恕的、大慈的。,,"但那些改悔和行善，以及闡明
[注]
的人們除外，這些人我允准他們的悔改，我是允准懺悔的、獨慈的。",,凡悔過自新、宣揚真理者除外。這些人必獲我的寬恕。我確是接受悔過的，特慈的。,
169,2 : 161,終身不信道、臨死還不信道的人，必受真主的棄絕，必受天神和人類全體的詛咒。,,的確，,,那些不信，並至死不信的人，他們將受到安拉和天仙們以及人類的譴責。,,"那些隱昧，而隱昧著死去的人們
[注1]
，這些人遭受安拉、眾天仙和人們
[注2]
的詛咒。",,凡[活著時]不信仰，且臨死時仍不信仰者，這些人必遭安拉、天使們和全人類的譴責，,
170,2 : 162,他們將永居火獄，不蒙減刑，不獲寬限。,,一般不信，並在不信著死去的人，他們永遭安拉和眾天使與世人一概的怒惱，他們不獲減輕罪刑，且不獲姑容。,,他們將永遠居住在其(火獄)中，他們的刑罰不會被減輕，也不會被延緩。,,"永遠在其中
[注]
，不減輕對他們的處罰，他們也不被寬容。",,[他們]將永居火獄中。他們所受的刑罰既不會被減輕，也不會被緩刑。,
171,2 : 163,你們所當崇拜的，是唯一的主宰；除他外，絕無應受崇拜的；他是至仁的，是至慈的。,,你們的主是唯一受拜的。除他普慈特慈的以外，再無有主。,,你們的真宰是唯一的神，在他之外無神。他是大仁的、大慈的。,,"你們的主宰
[注1]
是獨一
[注2]
的主，萬物非主，唯有他，普慈的，特慈的。",,"你們應崇拜的主只是獨一的主
[注]
[安拉]，除他外，再沒有應受崇拜的主。他是普慈的，特慈的。",
172,2 : 164,天地的創造，晝夜的輪流，利人航海的船舶，真主從雲中降下雨水，借它而使已死的大地複生，並在大地上散佈各種動物，與風向的改變，天地間受制的雲，對於能瞭解的人看來，此中確有許多跡象。,,在天地的造化、夜晝的不同、為利於眾人行駛在海中的船、和安拉自上空降下來而用牠活既死之地的水，與那散播在地上的一切動物，和變換風，暨天地間被制的雲，內中確對於一般瞭解的人含有種種表徵。,,(看哪!)在諸天和大地的造化中，在晝夜迴圈不息中，在人類利用船舶穿航于海洋上，在安拉由天空降雨，以它賦生命予死地，在他(主)把各種獸類遍佈大地，在風向的改變，和浮雲順從地在天地之間(漂浮)(種種現象之中)，對於聰明才智之士(其中)確有跡象。,,"[注1]
的確，在造化天地
[注2]
和夜晝的不同
[注3]
，和那載著有益於人們的
[注4]
而航行於海中的船，和那由安拉從天上降下的水
[注5]
，便借它使大地死後復活
[注6]
，和在其中
[注7]
散佈了各種動物，和支配風
[注8]
，和受控制於天地間的雲中，確有對思索者們的許多跡象
[注9]
。",,在天地的創造中，在晝夜的交替中，在海裏航行而有益於人類的船舶中，安拉從天空降下雨水，借此而使枯死的大地復蘇，並在大地上散佈各種動物，以及風向的轉變和天地間順從的雲，對能明理的民眾確有許多跡象。,
173,2 : 165,有些人，在真主之外，別有崇拜，當做真主的匹敵；他們敬愛那些匹敵，象敬愛真主一樣──信道的人們，對於敬愛真主，尤為懇摯──當不義的人，看見刑罰的時候，假若他們知道一切權力都是真主的，真主是刑罰嚴厲的……。,,有的人撇開安拉取同等的。 他們愛牠們，如愛安拉。眾歸信的人是愛安拉較甚的。設使背義的人，在親見罪刑的時候看見能力統屬安拉的，安拉是掌烈刑的，……。,,而人類當中，卻有人在安拉之外設置與安拉對等的(偽神)。他們愛它們，好象他們愛安拉一樣。可是有信仰的人卻對安拉充滿了愛心。如果作惡的人能夠知道， (那天)他們就會看到懲罰。一切的權力完全屬於安拉，安拉在懲罰上是嚴厲的。,,"人們中誰把安拉以外的當作同伴
[注1]
呢！他們喜愛他們
[注2]
，像喜愛安拉一樣。那些歸信的人，是最喜愛安拉的。假若虧害者們看到罪刑
[注3]
，即力量全都歸於安拉時
[注4]
，的確安拉是嚴刑的。",,"有些人舍安拉而選拜許多[與安拉同等的]崇拜對象
[注]
，他們喜歡那些崇拜對象就像他們喜歡安拉一樣，而信士們最喜歡安拉。假如不義者[現在]能看見他們[復活日]將看見的刑罰，那麼，[他們必定知道]一切權力都是安拉的，安拉確是懲罰嚴厲的。",
174,2 : 166,當時，被隨從的人，看見刑罰，而與隨從的人絕交，他們彼此間的關係，都斷絕了。,,彼時，一般領袖 回避一般追隨者。他們親見刑罪了，種種關係已經斷絕了。,,(在那天)， 那些被追隨的(偽神)將會遺棄追隨它們的人，他們會看到刑罰，他們之間的一切關係將被割斷。,,"當時，那些被跟從者對那些跟從者表示無關時，他們確已看到罪刑，一切關係
[注]
都斷了。",,當被追隨者看見刑罰時，將與追隨者絕交，隨後，他們之間的關係徹底斷絕了。,
175,2 : 167,隨從的人，將說：「但願我們得返麈世，那末，我們將與他們絕交，猶如他們與我們絕交一樣。」真主將這樣以他們的行為昭示他們，使他們感到悔恨，他們絕不能逃出火獄。,,一般追隨的人說：（但盼我們有一複反；我們和他們無干。如同他們和我們無干。安拉如此著把他們的作為顯給他們，使他們懊喪著；他們絕出不去火獄。,,那些追隨者會說：“如果我們能夠重回(人世)的話，我們一定會象它們遺棄我們一樣地遺棄它們。”安拉就會這樣把他們的行為顯示給他們，使他們後悔。他們將無法脫離火(獄)。,,"那些跟從者們說：“假若我們有一次返回
[注]
，我們必定像他們對我們所表示的無關那樣，我們也表示對他們無關。”就這樣，安拉使他們悲歎地看到他們的所作所為，他們是走不出火獄的。",,追隨者將說：“假如我們有一次機會返回[塵世]，我們將與他們絕交，猶如他們[現在]與我們絕交一樣。”安拉如此讓他們看見他們的行為，使他們悔恨。他們絕不能逃脫火獄[的刑罰]。,
176,2 : 168,眾人啊！你們可以吃大地上所有合法而且佳美的食物，你們不要隨從惡魔的步伐，他確是你們的明敵。,,眾人哪！你們吃地上所有清潔合法的！你們莫要追隨惡魔的腳步。牠實是你們的明敵。,,世人啊!你們吃地上合法的和美好的(東西吧)。不要步魔鬼的後塵。它是你們公開的敵人。,,"人們啊！你們吃地上的美好
[注1]
而合法的[食物]吧！你們不要緊跟魔鬼的步伐
[注2]
，他確是你們的明敵。",,人們啊！你們當吃大地上一切合法而佳美的食物。你們不要追隨惡魔的步伐，他[惡魔]確是你們明顯的敵人。,
177,2 : 169,他只以罪惡和醜事命令你們，並教你們假借真主的名義，而說出你們所不知道的事。,,牠惟命你們以罪惡與醜事；並命你們把自所不知的說在安拉上。,,它唆使你們(做)罪惡和恥辱的(事)，並叫你們用你們所不知道的去說安拉。它唆使你們(做)罪惡和恥辱的(事)，並叫你們用你們所不知道的去說安拉。,,"他只以壞事
[注1]
和醜事
[注2]
命令你們，讓你們對安拉說你們所不知道的
[注3]
。",,他[惡魔]只會教唆你們幹罪和做醜事，只會教唆你們借安拉的名義說你們所不知道的。,
178,2 : 170,有人勸他們說：「你們應當遵守真主所降示的經典。」他們就說：「不然，我們要遵守我們祖先的遺教。」即使他們的祖先無知無識，不循正道（他們仍要遵守他們的遺教）嗎？,,一旦有人對他們說：（你們當追從安拉所降的，）他們就說：（不，我們只是追從曾見自己祖先所守的。） 設若他們的祖先不瞭解一事，不得正道，也可嗎?,,當有人對他們說“你們要遵循安拉所啟示的”時，他們就說：“不，我們要遵循我們祖先的道。”(這是什麼話!)甚至他們的祖先全然是愚昧的和沒有引導的(也要遵循他們)嗎?,,"如有人對他們
[注1]
說：“你們跟從安拉所降示
[注2]
的吧！”他們說：“[不]，我們跟從我們所發現的父輩們所遵行
[注3]
的。”即使他們的父輩不懂什麼和不得正道嗎
[注4]
！",,當有人對他們說“你們當遵行安拉所降示的[經典]”時，他們就說：“不，我們只遵行我們發現我們的祖先所遵行的遺教。”即使他們的祖先不明理和不遵行正道，[難道他們也要遵行他們的祖先的遺教嗎？],
179,2 : 171,你號召不信道者，就象叫喚只會聽呼喊的牲畜一樣。（他們）是聾的，是啞的，是瞎的，故他們不瞭解。,,一般不信的人的情形，就像呵叱只聞叫喊的人的情形。（他們）是聾子、啞子、瞎子，所以不能瞭解。,,那些不信者的比喻就好比一群只能聽到叫喚(而一點也聽不懂的畜生)一樣， (它們是)聾的、啞的和瞎的。所以他們是(聽)不懂的。,,"那些昧者們的比方，像只是叫喊而不明意思的人
[注]
，[他們]是聾子、啞巴、瞎子，他們並不理解。",,不信仰者的情況，猶如叫喊者叫喚只能聽懂呼喊聲的牲畜一樣。[他們是]聾子、啞巴、瞎子，所以他們不明理。,
180,2 : 172,信道的人們啊！你們可以吃我所供給你們的佳美的食物，你們當感謝真主，如果你們只崇拜他。,,眾歸信的人哪！你們食我所供給你們種種清潔的！你們當感念安拉。如果你們惟獨拜他了，……。,,有信仰的人啊!吃我賜給你們的美好的東西吧。如果你們崇拜安拉的話，你們要對他知感。,,"哎歸信者們呀！你們食用我所賜給你們的美好的
[注]
吧！你們要感謝安拉，要是你們唯他而崇拜時。",,"信士們啊！你們當吃我所賜給你們的佳美食物
[注]
。你們當感謝安拉，假如你們只崇拜他。",
181,2 : 173,他只禁戒你們吃自死物、血液、豬肉、以及誦非真主之名而宰的動物；凡為勢所迫，非出自願，且不過份的人，（雖吃禁物），毫無罪過。因為真主確是至赦的，確是至慈的。,,他只是對你們禁忌自死的、 血、豬肉、與宰割時不以安拉的名高呼的。其非背叛，也非越範，被迫無奈的人，於他無罪。安拉實是多恕的，特慈的。,,他只禁止你們(吃)自己死的、血和豬的肉， 以及(臨宰時)念誦安拉尊名之外的其他名字的。但是迫于不得已，不是有意(違背)，也不是過份的人，(即使吃了禁物，也)是無罪的。安拉是多恕的、大慈的。他只禁止你們(吃)自己死的、血和豬的肉， 以及(臨宰時)念誦安拉尊名之外的其他名字的。但是迫于不得已，不是有意(違背)，也不是過份的人，(即使吃了禁物，也)是無罪的。安拉是多恕的、大慈的。,,"只是不許你們[吃]自死的
[注1]
、血液、豬肉
[注2]
和奉安拉以外者而宰的，凡被迫而非過為和過分者，則無罪。安拉確是寬恕的，特慈的。",,"他只禁止你們[吃]：自死物，血液，豬
[注]
肉和念非安拉之名而宰的。但若是迫不得已而並非想違抗，且未超越法度者，那麼，[吃這些禁物]沒有罪過。安拉確是最寬恕的，特慈的。",
182,2 : 174,隱諱真主所降示的經典，而以廉價出賣它的人，只是把火吞到肚子裏去，在復活日，真主既不和他們說話，又不滌除他們的罪惡，他們將受痛苦的刑罰。,,的確，一般不信安拉頒降的經典，並用牠換取些微代價的人，他們只是把火喫在腹內。在複生日安拉不與交言，不使清潔，他們應遭痛刑。,,那些隱瞞安拉所啟示的經典的任何部份， 用以換取卑微的代價的人，他們是把火吞進自己的腹中。安拉決不會在復活日對他們說話，也不為他們滌除罪惡。他們將受十分嚴厲的刑罰。,,"那些隱瞞安拉所降的經典
[注1]
，並用它換取些微代價者，這些人，吃入肚中的只是火
[注2]
，安拉於復活之日不同他們交談，也不使他們清潔
[注3]
，他們應受痛刑。",,凡隱藏安拉在經典中所降示的[教義教規]，並以此換取低俗代價者，這些人只是把火吞進自己的腹中。復活日，安拉將不同他們說話，也不淨化他們。他們必受痛苦的刑罰。,
183,2 : 175,這等人，以正道換取迷誤，以赦宥換取刑罰，他們真能忍受火刑！,,這般人是棄正道換取迷誤，棄饒恕換取罪刑的。他們太勇於抵抗火獄了，,,他們就是那些以(安拉的)引導換取錯誤， 以(安拉的)寬恕換取痛苦的人。他們對火(表現得)多麼勇敢啊!,,"這些人以正道換取了迷歧
[注1]
， 以饒恕換取了罪刑
[注2]
的人們，他們對火獄真能忍受啊
[注3]
！",,這些人以正道換取迷誤，以寬恕換取刑罰。他們對受火獄的刑罰多麼勇敢！,
184,2 : 176,這是因為真主已降示包含真理的經典，違背經典的人，確已陷於長遠的反對中。,,這是由於安拉因為真理降下經典。對於經典起爭議的人確是在遙遠的反抗中。,,那是因為安拉以真理降下了經典，那些在經典中尋找異議的人們。他們是在深遠的錯誤中(公然分裂宗教)。,,"那是由於安拉真實地降示
[注1]
了經典，的確，那些在經典中分歧的人們
[注2]
，確是在深遠
[注3]
的分歧中。",,這是因為安拉降示了這部包含真理的經典[《古蘭經》]。凡對這部經典[《古蘭經》]分歧者確是在遙遠的對立中。,
